scenario,factor_a,factor_b,state_a,state_b,observations,down_pct,flat_pct,up_pct,outcome_separation,mean_return_5d,median_return_5d
TREND_DOWN,change_pct,trend_score,LOW,HIGH,1142,40.71803852889667,13.747810858143609,45.53415061295972,31.786339754816105,0.12671479859894919,0.14835
TREND_UP,trend_score,liquidity_score,HIGH,HIGH,1578,45.05703422053232,13.307984790874524,41.634980988593156,31.749049429657795,-0.10245627376425855,-0.0484
TREND_DOWN,change_pct,relative_strength,HIGH,HIGH,1585,44.290220820189276,12.618296529968454,43.09148264984227,31.671924290220822,0.06438776025236596,0.0
TREND_UP,intelligence_score,relative_strength,HIGH,LOW,840,41.66666666666667,13.333333333333334,45.0,31.666666666666664,0.0008804761904761855,0.10755
TREND_UP,intelligence_score,volatility_score,LOW,LOW,979,45.556690500510726,13.891726251276811,40.55158324821247,31.66496424923392,0.0469,-0.1909
LOW_VOL,trend_score,momentum_score,LOW,LOW,278,33.093525179856115,17.62589928057554,49.280575539568346,31.654676258992808,0.4754115107913669,0.448
CHOPPY,intelligence_score,relative_strength,LOW,LOW,452,44.469026548672566,12.831858407079647,42.69911504424779,31.63716814159292,0.020937610619469055,-0.0861
CHOPPY,intelligence_score,trend_score,HIGH,HIGH,648,45.98765432098765,14.351851851851851,39.660493827160494,31.635802469135797,-0.2614824074074074,-0.20700000000000002
TREND_DOWN,intelligence_score,liquidity_score,LOW,HIGH,893,42.889137737961924,12.76595744680851,44.34490481522956,31.57894736842105,0.3277676371780514,0.0
CHOPPY,trend_score,liquidity_score,LOW,LOW,266,42.857142857142854,12.781954887218044,44.3609022556391,31.57894736842105,0.37444210526315796,-0.0304
TREND_DOWN,change_pct,liquidity_score,LOW,LOW,795,44.528301886792455,12.955974842767295,42.515723270440255,31.57232704402516,-0.03687383647798744,-0.0531
TREND_UP,change_pct,liquidity_score,HIGH,HIGH,1220,42.704918032786885,12.868852459016395,44.42622950819673,31.557377049180328,0.1723509836065574,0.136
TREND_DOWN,relative_strength,momentum_score,LOW,HIGH,450,43.111111111111114,12.666666666666668,44.22222222222222,31.555555555555557,0.1900566666666667,-0.02435
CHOPPY,relative_strength,trend_score,HIGH,HIGH,466,45.92274678111588,14.377682403433475,39.69957081545064,31.545064377682408,-0.3102890557939914,-0.24235
TREND_DOWN,trend_score,liquidity_score,LOW,HIGH,1010,44.45544554455446,12.970297029702971,42.57425742574257,31.485148514851485,0.21530772277227728,-0.11745
TREND_UP,trend_score,liquidity_score,LOW,LOW,575,32.0,18.26086956521739,49.73913043478261,31.478260869565215,0.8274699130434783,0.4874
TREND_DOWN,intelligence_score,volatility_score,LOW,HIGH,969,45.09803921568628,13.622291021671826,41.279669762641895,31.475748194014454,-0.1354327141382869,-0.1396
TREND_UP,momentum_score,liquidity_score,HIGH,HIGH,1237,43.896523848019406,12.449474535165724,43.654001616814874,31.447049312853682,0.1018105092966855,0.1036
LOW_VOL,volatility_score,liquidity_score,LOW,HIGH,274,37.95620437956204,15.328467153284672,46.715328467153284,31.386861313868607,0.4248142335766424,0.2661
LOW_VOL,relative_strength,liquidity_score,LOW,HIGH,255,37.254901960784316,15.686274509803921,47.05882352941176,31.372549019607842,0.2800152941176471,0.3
