global_ic,regime_ic,shrunk_ic,regime_days,icir,direction,source,weight,window,regime,factor
0.021682831854846887,0.021682831854846887,0.021682831854846887,8,0.6609837511727665,1,GLOBAL_FALLBACK,0.2847101102635239,2,HIGH_VOL_UP,liquidity_score
-0.0009007853536196841,-0.006207094618260472,-0.0037390437974973148,46,0.20177766683189777,-1,REGIME,0.031090853483539026,2,HIGH_VOL_DOWN,relative_strength
0.033767815470974495,0.01420338642750216,0.0233031208663265,46,0.3678909753431052,1,REGIME,0.3532907103590432,2,HIGH_VOL_DOWN,trend_score
0.009285514913817936,0.004662639587463445,0.006812814157860883,46,0.15057927046247785,1,REGIME,0.04227569216309687,2,HIGH_VOL_DOWN,momentum_score
-0.0030423462437394523,-0.011124534764291084,-0.00736537731287172,46,0.4063681017769397,-1,REGIME,0.12334274399432095,2,HIGH_VOL_DOWN,volatility_score
0.021682831854846887,0.041007923665365896,0.032019508869775656,46,1.9831489628405767,1,REGIME,0.45,2,HIGH_VOL_DOWN,liquidity_score
-0.0009007853536196841,-0.0009007853536196841,-0.0009007853536196841,1,0.0,-1,GLOBAL_FALLBACK,0.014191090371382935,2,TREND_DOWN,relative_strength
0.033767815470974495,0.033767815470974495,0.033767815470974495,1,0.0,1,GLOBAL_FALLBACK,0.45,2,TREND_DOWN,trend_score
0.009285514913817936,0.009285514913817936,0.009285514913817934,1,0.0,1,GLOBAL_FALLBACK,0.14628521740202377,2,TREND_DOWN,momentum_score
-0.0030423462437394523,-0.0030423462437394523,-0.0030423462437394523,1,0.0,-1,GLOBAL_FALLBACK,0.047929520959076724,2,TREND_DOWN,volatility_score
0.021682831854846887,0.021682831854846887,0.021682831854846887,1,0.0,1,GLOBAL_FALLBACK,0.3415941712675166,2,TREND_DOWN,liquidity_score
-0.0008759971635119019,0.003876271149863796,0.0007600296328961251,21,0.11838053428607878,1,REGIME,0.001237084943484062,3,TREND_UP,relative_strength
0.024909034779588998,0.09631930919423332,0.04949289974200753,21,2.896326128307648,1,REGIME,0.45,3,TREND_UP,trend_score
