scenario,factor_a,factor_b,state_a,state_b,target_outcome,episodes,total_observations,target_consistency_pct,positive_uplift_pct,positive_return_pct,mean_target_uplift_pct,median_target_uplift_pct,worst_target_uplift_pct,mean_return_5d,median_return_5d,worst_episode_mean_return_5d,best_episode_mean_return_5d,return_positive_minus_negative_balance,decision,research_status
TREND_UP,intelligence_score,volatility_score,LOW,HIGH,UP,7,376,71.42857142857143,57.14285714285714,85.71428571428571,4.219424417335387,3.1321657942098113,-6.456232747768038,0.5150760229737155,0.5026699029126214,-0.8116142857142857,1.5488730769230767,5.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,momentum_score,LOW,HIGH,UP,8,514,62.5,75.0,62.5,5.6652561970833615,1.1205649541832798,-27.56767975814252,0.5112923502964817,0.7760724957555178,-2.5240019607843136,4.22118524590164,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,momentum_score,volatility_score,HIGH,LOW,DOWN,8,1073,50.0,50.0,62.5,-0.6581056775130047,0.3934693797328883,-41.35426144980286,0.5040125134038186,0.20664210252302762,-1.8498185393258424,5.340235714285714,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,trend_score,momentum_score,LOW,HIGH,DOWN,8,487,50.0,37.5,50.0,-1.4049441049862796,-6.064612923640688,-27.868418731810568,0.5027590453050397,0.28310299516908216,-2.43725730994152,3.9716192982456144,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,change_pct,momentum_score,HIGH,HIGH,DOWN,9,1272,55.55555555555556,33.33333333333333,55.55555555555556,-2.1468788079047894,-1.5449346405228823,-41.35426144980286,0.4969537536014529,0.4929557894736843,-1.6698202127659574,5.340235714285714,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,relative_strength,momentum_score,LOW,LOW,UP,9,709,55.55555555555556,77.77777777777779,55.55555555555556,6.136447741357918,2.3500881834215193,-1.9416067528212722,0.48974822615787567,0.4491396396396396,-0.7581015624999998,3.75304,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,relative_strength,LOW,LOW,UP,8,1529,62.5,62.5,62.5,7.8187942185875015,2.622923149433504,-9.79278851878663,0.4824930326014669,0.39284078309551435,-1.313407299270073,2.6226134453781507,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,momentum_score,liquidity_score,HIGH,HIGH,DOWN,9,959,55.55555555555556,55.55555555555556,66.66666666666666,1.638301069810981,2.6717441437067535,-39.92569002123143,0.4422516678614862,0.1684675000000001,-1.8076753424657537,5.154575000000001,3.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,volatility_score,liquidity_score,LOW,HIGH,DOWN,8,1699,50.0,37.5,75.0,-4.671319697901152,-4.264304353356078,-24.41287416560696,0.44107607697252094,0.39747195557626586,-1.4046999999999998,2.536,4.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,relative_strength,liquidity_score,LOW,LOW,DOWN,8,672,50.0,37.5,50.0,-3.1282722194796717,-6.033363979348266,-27.13849500146402,0.4384473779911827,0.09817314580941451,-1.434094375,3.4692244897959195,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,liquidity_score,LOW,LOW,DOWN,8,784,50.0,37.5,50.0,-2.210419295163886,-3.2473028599538125,-26.129667763128584,0.4362086533444155,0.2083238793671721,-1.710253947368421,3.4735121951219514,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
CHOPPY,relative_strength,liquidity_score,LOW,LOW,DOWN,5,177,60.0,60.0,60.0,-0.17467498256686084,4.377104377104374,-13.020351526364479,0.43215827995338,0.0033153846153845,-0.1564818181818181,2.0098000000000003,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,liquidity_score,LOW,HIGH,UP,8,1305,62.5,62.5,75.0,5.98818455719704,6.419724535024894,-8.241089539263974,0.4319496221546166,0.5557602277432712,-1.5261288888888884,1.7030605504587153,4.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
