scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,oos_windows,target_oos_windows,oos_gap_to_target,eligibility_status,research_priority,queue_priority,queue_action,queue_reason
UNEXPLORED_14,TREND_UP,0488aa61a160ea49,TRACK_C_FACTOR_INTERACTION,10,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_14,TREND_UP,0488aa61a160ea49,TRACK_C_REGIME_AWARE,10,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_14,TREND_UP,0488aa61a160ea49,TRACK_C_SCENARIO_WEAPON,10,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_C_FACTOR_INTERACTION,10,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_C_REGIME_AWARE,10,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_C_SCENARIO_WEAPON,10,0,10,10,RESEARCHABLE_NO_EVIDENCE,MEDIUM,P2,START_OOS_RESEARCH,Researchable relationship with less-mature scenario history; start after mature P1 workload.
UNEXPLORED_48,LOW_VOL,c80defeab6d188b3,TRACK_B_BASELINE_FAILURE,8,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_48,LOW_VOL,c80defeab6d188b3,TRACK_B_CONDITIONAL_SCORE,8,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_48,LOW_VOL,c80defeab6d188b3,TRACK_B_FACTOR_AGREEMENT,8,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_48,LOW_VOL,c80defeab6d188b3,TRACK_C_FACTOR_INTERACTION,8,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_48,LOW_VOL,c80defeab6d188b3,TRACK_C_REGIME_AWARE,8,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_48,LOW_VOL,c80defeab6d188b3,TRACK_C_SCENARIO_WEAPON,8,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_29,TREND_DOWN,f8d582f6f5eae30a,TRACK_B_BASELINE_FAILURE,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_29,TREND_DOWN,f8d582f6f5eae30a,TRACK_B_CONDITIONAL_SCORE,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_29,TREND_DOWN,f8d582f6f5eae30a,TRACK_B_FACTOR_AGREEMENT,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_29,TREND_DOWN,f8d582f6f5eae30a,TRACK_C_FACTOR_INTERACTION,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_29,TREND_DOWN,f8d582f6f5eae30a,TRACK_C_REGIME_AWARE,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_29,TREND_DOWN,f8d582f6f5eae30a,TRACK_C_SCENARIO_WEAPON,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_50,LOW_VOL,541d282d55435420,TRACK_B_BASELINE_FAILURE,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_50,LOW_VOL,541d282d55435420,TRACK_B_CONDITIONAL_SCORE,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_50,LOW_VOL,541d282d55435420,TRACK_B_FACTOR_AGREEMENT,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_50,LOW_VOL,541d282d55435420,TRACK_C_FACTOR_INTERACTION,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_50,LOW_VOL,541d282d55435420,TRACK_C_REGIME_AWARE,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_50,LOW_VOL,541d282d55435420,TRACK_C_SCENARIO_WEAPON,6,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_27,FLAT,781a8762235d82c2,TRACK_B_BASELINE_FAILURE,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_27,FLAT,781a8762235d82c2,TRACK_B_CONDITIONAL_SCORE,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_27,FLAT,781a8762235d82c2,TRACK_B_FACTOR_AGREEMENT,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_27,FLAT,781a8762235d82c2,TRACK_C_FACTOR_INTERACTION,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_27,FLAT,781a8762235d82c2,TRACK_C_REGIME_AWARE,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_27,FLAT,781a8762235d82c2,TRACK_C_SCENARIO_WEAPON,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_B_BASELINE_FAILURE,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_B_CONDITIONAL_SCORE,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_B_FACTOR_AGREEMENT,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_C_FACTOR_INTERACTION,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
