scenario,factor,horizon_days,global_oos_fold_count,oos_fold_count,oos_finite_ic_folds,regime_total_dates,regime_oos_dates,oos_usable_dates,mean_stocks_per_date,oos_mean_ic,oos_ic_std,oos_icir,oos_positive_ic_fold_pct,mean_top_quintile_return,mean_bottom_quintile_return,mean_quintile_spread,positive_spread_fold_pct,bootstrap_95ci_low,bootstrap_95ci_high,raw_sign_test_p_value,adjusted_p_value,evidence_classification
FLAT,change_pct,5,7,2,2,6,3,3,49.0,0.061601897216120374,0.13232371809538163,0.46553934625473925,50.0,-0.03246500000000008,-0.9423972222222222,0.9099322222222223,100.0,0.035878888888889016,1.7839855555555555,0.5,1.0,UNVALIDATED
FLAT,change_pct,10,7,2,2,6,3,3,49.0,0.16460735147705646,0.18538372372649128,0.8879277434296898,100.0,2.1614924999999996,-1.0005055555555555,3.1619980555555554,100.0,0.8554272222222219,5.468568888888889,0.5,1.0,UNVALIDATED
FLAT,change_pct,20,7,2,1,6,3,2,32.666666666666664,0.04145513917520291,,,100.0,-1.894765,-2.9527444444444444,1.0579794444444446,100.0,1.0579794444444446,1.0579794444444446,1.0,1.0,TEMPORALLY_INADEQUATE
FLAT,intelligence_score,1,7,2,2,6,3,3,49.0,0.06093240028577749,0.17228991051247414,0.35366203455869727,50.0,0.8122050000000001,0.21211388888888888,0.6000911111111111,100.0,0.5205166666666667,0.6796655555555555,0.5,1.0,UNVALIDATED
FLAT,intelligence_score,5,7,2,2,6,3,3,49.0,-0.009186051475835177,0.2506655015642822,-0.03664665228565348,50.0,0.08577499999999993,-0.6888138888888891,0.774588888888889,50.0,-0.10966555555555546,1.6588433333333334,1.0,1.0,WEAK_INCONSISTENT
FLAT,intelligence_score,10,7,2,2,6,3,3,49.0,0.12829018310259152,0.25163710973715653,0.5098221929054699,50.0,1.543965,-0.9216083333333331,2.465573333333333,100.0,1.9217255555555552,3.0094211111111107,0.5,1.0,UNVALIDATED
FLAT,intelligence_score,20,7,2,1,6,3,2,32.666666666666664,0.3726530612244898,,,100.0,1.5356500000000002,-4.929733333333333,6.4653833333333335,100.0,6.4653833333333335,6.4653833333333335,1.0,1.0,TEMPORALLY_INADEQUATE
FLAT,liquidity_score,1,7,2,2,6,3,3,49.0,0.16097759428996528,0.056339268525809554,2.8572893916118187,100.0,0.44304890109890105,0.11017916666666669,0.33286973443223433,100.0,0.114870238095238,0.5508692307692307,0.5,1.0,UNVALIDATED
FLAT,liquidity_score,5,7,2,2,6,3,3,49.0,-0.12523402658989277,0.25500244551893003,-0.491109119895072,50.0,-0.7519478021978021,1.0155416666666666,-1.767489468864469,0.0,-3.1560134615384614,-0.37896547619047616,0.5,1.0,NEGATIVE
FLAT,liquidity_score,10,7,2,2,6,3,3,49.0,-0.02768913593107933,0.3327481451738043,-0.08321349444823041,50.0,-0.2764670329670331,0.911508333333334,-1.1879753663003672,50.0,-3.498701923076924,1.1227511904761898,1.0,1.0,WEAK_INCONSISTENT
FLAT,liquidity_score,20,7,2,1,6,3,2,32.666666666666664,0.19169104320146613,,,100.0,-0.7468928571428571,-2.8854083333333334,2.1385154761904763,100.0,2.1385154761904763,2.1385154761904763,1.0,1.0,TEMPORALLY_INADEQUATE
FLAT,momentum_score,1,7,2,2,6,3,3,49.0,0.08188984415532385,0.1708644463781838,0.479267898566051,50.0,0.9665925,0.031727777777777744,0.9348647222222223,100.0,0.5949705555555556,1.274758888888889,0.5,1.0,UNVALIDATED
FLAT,momentum_score,5,7,2,2,6,3,3,49.0,0.05924867149877942,0.029277540870347164,2.0236901644559766,100.0,0.18969250000000015,-1.1522916666666667,1.3419841666666668,100.0,0.6467994444444447,2.037168888888889,0.5,1.0,UNVALIDATED
FLAT,momentum_score,10,7,2,2,6,3,3,49.0,0.15083310257212637,0.10316421557565726,1.46206804103997,100.0,1.4269874999999996,-1.4360333333333335,2.8630208333333327,100.0,1.088446111111111,4.637595555555555,0.5,1.0,UNVALIDATED
FLAT,momentum_score,20,7,2,1,6,3,2,32.666666666666664,0.06553910688221413,,,100.0,-1.3164250000000002,-4.28053888888889,2.9641138888888894,100.0,2.9641138888888894,2.9641138888888894,1.0,1.0,TEMPORALLY_INADEQUATE
FLAT,relative_strength,1,7,2,2,6,3,3,49.0,0.08415588177741856,0.2075868258951323,0.4054008794369832,50.0,0.614305,-0.053197222222222285,0.6675022222222223,100.0,0.060108888888888934,1.2748955555555557,0.5,1.0,UNVALIDATED
