scenario,factor_a,factor_b,state_a,state_b,qualifying_episodes,total_observations,dominant_outcome,dominant_consistency_pct,episodes_with_positive_uplift,episodes_with_positive_mean_return,mean_probability_uplift_pct,median_probability_uplift_pct,mean_return_5d,median_return_5d,min_episode_dominant_probability_pct,max_episode_dominant_probability_pct,decision,repeatability_score
HIGH_VOL,trend_score,momentum_score,HIGH,HIGH,1,158,UP,100.0,1,1,35.0210970464135,35.0210970464135,2.210659493670886,2.3509,68.35443037974683,68.35443037974683,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,intelligence_score,volatility_score,LOW,HIGH,1,157,UP,100.0,1,1,11.95271704825845,11.95271704825845,0.6720363057324841,0.6291,51.59235668789809,51.59235668789809,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,relative_strength,momentum_score,HIGH,HIGH,2,156,UP,50.0,2,1,6.853218343436543,6.853218343436543,0.2160024568965517,0.13545,43.96551724137931,47.5,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,intelligence_score,relative_strength,LOW,HIGH,2,152,UP,50.0,2,1,7.938641540928707,7.938641540928707,0.07911547619047621,-0.15387500000000004,43.63636363636363,50.0,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,intelligence_score,liquidity_score,HIGH,HIGH,1,146,UP,100.0,1,1,35.84474885844749,35.84474885844749,2.2411938356164387,2.3349,69.17808219178082,69.17808219178082,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,intelligence_score,momentum_score,HIGH,HIGH,1,145,UP,100.0,1,1,34.94252873563219,34.94252873563219,2.257833793103448,2.3364,68.27586206896552,68.27586206896552,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,momentum_score,liquidity_score,LOW,HIGH,2,144,UP,50.0,2,1,16.383617617483733,16.383617617483733,0.33941868421052623,0.12212499999999993,50.0,60.526315789473685,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,trend_score,liquidity_score,HIGH,HIGH,1,141,UP,100.0,1,1,36.17021276595745,36.17021276595745,2.279798581560284,2.3654,69.50354609929079,69.50354609929079,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,relative_strength,volatility_score,HIGH,HIGH,2,141,UP,50.0,2,1,19.18669903898621,19.18669903898621,-0.6025109508547007,-0.5651250000000001,45.2991452991453,70.83333333333334,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,change_pct,trend_score,HIGH,HIGH,1,131,UP,100.0,1,1,30.788804071246815,30.788804071246815,1.79461679389313,1.7804,64.12213740458014,64.12213740458014,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,intelligence_score,liquidity_score,LOW,HIGH,2,130,UP,50.0,2,2,9.334745437032606,9.334745437032606,0.3209591036414565,0.162825,46.42857142857143,50.0,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,momentum_score,volatility_score,LOW,HIGH,1,129,UP,100.0,1,1,14.623926251833225,14.623926251833225,0.8683217054263566,0.6615,54.263565891472865,54.263565891472865,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,change_pct,liquidity_score,HIGH,HIGH,2,128,UP,50.0,2,2,4.130751317944145,4.130751317944145,0.39218108919382505,0.21655,40.56603773584906,45.45454545454545,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,change_pct,intelligence_score,HIGH,HIGH,1,127,UP,100.0,1,1,30.446194225721783,30.446194225721783,1.8130944881889766,1.7779,63.77952755905512,63.77952755905512,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,change_pct,trend_score,HIGH,LOW,2,126,DOWN,100.0,1,0,4.637911809808484,4.637911809808484,-0.12284066213921901,-0.49870000000000003,41.05263157894737,51.61290322580645,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,relative_strength,trend_score,HIGH,LOW,2,125,UP,50.0,2,1,8.12590436884489,8.12590436884489,-0.11814263460375073,-0.45157500000000006,41.37931034482759,52.63157894736842,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,relative_strength,volatility_score,HIGH,LOW,1,124,UP,100.0,1,1,29.56989247311828,29.56989247311828,1.9447040322580644,1.9428999999999998,62.903225806451616,62.903225806451616,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,relative_strength,liquidity_score,LOW,HIGH,2,124,UP,50.0,2,1,11.90833851062568,11.90833851062568,0.3715134545454545,0.34859999999999997,44.0,57.57575757575758,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,momentum_score,liquidity_score,HIGH,HIGH,1,123,UP,100.0,1,1,33.33333333333333,33.33333333333333,1.9968373983739836,2.2534,66.66666666666666,66.66666666666666,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,relative_strength,momentum_score,HIGH,HIGH,1,122,UP,100.0,1,1,28.961748633879786,28.961748633879786,1.9956073770491805,2.10865,62.295081967213115,62.295081967213115,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,intelligence_score,trend_score,HIGH,HIGH,2,121,UP,50.0,2,1,8.534252826195166,8.534252826195166,0.30198230884557736,0.27454999999999996,44.827586206896555,50.0,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,relative_strength,liquidity_score,HIGH,HIGH,2,120,UP,50.0,2,2,7.231570833858001,7.231570833858001,0.3392205555555555,0.128525,45.55555555555556,46.666666666666664,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,trend_score,volatility_score,LOW,HIGH,1,118,UP,100.0,1,1,14.59764849595358,14.59764849595358,0.6668381355932204,0.6714,54.23728813559322,54.23728813559322,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,change_pct,liquidity_score,LOW,HIGH,2,116,UP,50.0,2,1,16.980262570501544,16.980262570501544,0.4434262139466958,0.3983,45.45454545454545,66.26506024096386,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,volatility_score,liquidity_score,HIGH,HIGH,1,116,UP,100.0,1,1,8.63622242932588,8.63622242932588,0.4409086206896551,0.37785,48.275862068965516,48.275862068965516,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,relative_strength,volatility_score,LOW,LOW,1,115,UP,100.0,1,1,42.31884057971014,42.31884057971014,2.4849104347826088,2.3654,75.65217391304347,75.65217391304347,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,trend_score,liquidity_score,LOW,LOW,2,115,UP,50.0,2,1,14.257714624707674,14.257714624707674,0.055340392156862706,-0.21912500000000007,52.94117647058824,53.333333333333336,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,intelligence_score,liquidity_score,HIGH,HIGH,2,114,UP,50.0,2,1,10.354176197842675,10.354176197842675,0.4422756704980844,0.34199999999999997,44.44444444444444,54.02298850574713,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,relative_strength,liquidity_score,HIGH,LOW,2,114,UP,50.0,2,1,10.226561549408371,10.226561549408371,-0.08609626894675482,-0.29490000000000005,43.373493975903614,54.83870967741935,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,volatility_score,liquidity_score,HIGH,LOW,1,112,UP,100.0,1,1,6.78893178893179,6.78893178893179,0.682161607142857,0.3808,46.42857142857143,46.42857142857143,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,relative_strength,volatility_score,LOW,HIGH,1,111,UP,100.0,1,1,9.909909909909908,9.909909909909908,0.7527972972972974,0.4019,49.549549549549546,49.549549549549546,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,trend_score,volatility_score,HIGH,HIGH,1,110,UP,100.0,1,1,0.36036036036036223,0.36036036036036223,0.44418727272727265,0.0054,40.0,40.0,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,relative_strength,trend_score,HIGH,HIGH,2,109,UP,50.0,2,1,8.87071250333334,8.87071250333334,0.41299213852376127,0.28045,47.674418604651166,47.82608695652174,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,change_pct,liquidity_score,HIGH,HIGH,1,107,UP,100.0,1,1,28.34890965732087,28.34890965732087,1.5309598130841122,1.7249,61.6822429906542,61.6822429906542,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,relative_strength,trend_score,HIGH,HIGH,1,107,UP,100.0,1,1,31.15264797507788,31.15264797507788,2.2816794392523363,2.5296,64.48598130841121,64.48598130841121,INSUFFICIENT_EPISODES,0.1111111111111111
