primary_scenario,factor,factor_state,observations,scenario_dates,symbols,positive_5d_pct,mean_return_5d,median_return_5d,worst_return_5d,best_return_5d,scenario_baseline_observations,scenario_baseline_positive_5d_pct,scenario_baseline_mean_return_5d,global_baseline_observations,global_baseline_positive_5d_pct,global_baseline_mean_return_5d,positive_rate_lift_vs_scenario,mean_return_lift_vs_scenario,positive_rate_lift_vs_global,mean_return_lift_vs_global,predictive_strength_status,predictive_strength_reason
FLAT,momentum_score,MEDIUM,266,6,49,54.13533834586466,0.2022733082706766,0.2187,-7.5529,9.2944,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,1.4142499104905042,0.09395187969924805,3.2836590914857453,0.05447713279261138,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
LOW_VOL,momentum_score,MEDIUM,786,18,49,54.4529262086514,0.2400073791348601,0.24775,-30.1183,14.1326,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,1.7318377732772419,0.09091384171989408,3.601246954272483,0.09221120365679486,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_DOWN,trend_score,HIGH,803,82,49,51.18306351183064,0.1992681195516811,0.1202,-13.047,14.3204,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,0.8757116554254267,0.06825816135153359,0.33138425745172384,0.05147194407361588,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
LOW_VOL,trend_score,HIGH,168,18,47,52.97619047619048,0.2079380952380952,0.1231,-7.2155,14.1326,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,0.25510204081632537,0.058844557823129195,2.1245112218115665,0.06014191976002997,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_DOWN,trend_score,VERY_HIGH,1586,82,49,53.59394703656999,0.1849916771752837,0.256,-35.87,13.6238,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,3.286595180164781,0.05398171897513618,2.742267782191078,0.03719550169721847,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
FLAT,volatility_score,VERY_HIGH,282,6,49,53.191489361702125,0.1621886524822694,0.1866,-7.5529,9.2944,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,0.4704009263279687,0.05386722391084085,2.33981010732321,0.01439247700420418,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
LOW_VOL,liquidity_score,MEDIUM,102,18,8,56.86274509803921,0.2028852941176471,0.49925,-7.6532,5.0858,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,4.141656662665056,0.053791756702681104,6.0110658436602975,0.05508911863958188,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
FLAT,intelligence_score,HIGH,122,6,43,53.278688524590166,0.1591508196721311,0.2153999999999999,-7.5529,9.2944,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,0.5576000892160096,0.050829391100702545,2.4270092702112507,0.011354644194065872,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
CHOPPY,momentum_score,MEDIUM,1219,31,49,47.82608695652174,-0.1162981952420016,-0.128,-36.7376,13.4597,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,0.8873114463176606,0.03872399040645133,-3.025592297857173,-0.2640943707200668,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
CHOPPY,trend_score,HIGH,251,31,49,45.0199203187251,-0.1174752988047808,-0.2836,-9.7891,11.3035,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,-1.9188551914789826,0.037546886843672134,-5.831758935653816,-0.26527147428284603,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_UP,momentum_score,MEDIUM,3328,84,49,51.051682692307686,0.1005487680288461,0.058,-31.3997,16.3503,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,0.43855453650100173,0.03031594763932939,0.20000343792877118,-0.047247407449219125,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
HIGH_VOL,intelligence_score,HIGH,145,5,39,71.03448275862068,2.31118,2.3364,-11.438,12.5438,245,73.87755102040816,2.284386530612245,12446,50.851679254378915,0.14779617547806523,-2.8430682617874794,0.026793469387754953,20.182803504241768,2.163383824521935,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
FLAT,intelligence_score,MEDIUM,170,6,47,52.94117647058824,0.133725294117647,0.162,-7.2081,9.2145,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,0.22008803521408282,0.025403865546218443,2.089497216209324,-0.01407088136041823,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_DOWN,momentum_score,LOW,789,76,49,49.93662864385298,0.1549504435994927,0.0,-13.047,18.484,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,-0.3707232125522353,0.02394048539934518,-0.9150506105259382,0.007154268121427471,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
CHOPPY,trend_score,MEDIUM,448,31,49,46.205357142857146,-0.1336321428571429,-0.2509,-9.5029,13.4597,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,-0.7334183673469354,0.021390042791310043,-4.646322111521769,-0.2814283183352081,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_DOWN,relative_strength,LOW,4018,82,49,50.696864111498265,0.1503990044798407,0.0530999999999999,-35.87,18.484,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,0.3895122550930523,0.01938904627969318,-0.15481514288065057,0.0026028290017754696,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_UP,volatility_score,VERY_HIGH,3502,84,49,51.05653912050258,0.0826199885779554,0.0550999999999999,-33.2122,16.3503,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,0.44341096469589303,0.012387168188438685,0.20485986612366247,-0.06517618690010983,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
FLAT,trend_score,MEDIUM,84,6,42,54.761904761904766,0.1141904761904761,0.20715,-7.1436,7.2496,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,2.04081632653061,0.005869047619047552,3.910225507525851,-0.03360569928758912,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
CHOPPY,volatility_score,VERY_HIGH,1268,31,49,47.3186119873817,-0.1526282334384857,-0.16795,-36.7376,11.4027,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,0.37983647717761926,0.002393952209967243,-3.5330672669972145,-0.3004244089165509,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
TREND_DOWN,momentum_score,MEDIUM,2932,82,49,50.51159618008185,0.1324509208731241,0.04255,-35.87,17.2931,4067,50.30735185640521,0.13100995820014752,12446,50.851679254378915,0.14779617547806523,0.20424432367664025,0.0014409626729765812,-0.34008307429706264,-0.015345254604941128,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
FLAT,relative_strength,LOW,294,6,49,52.72108843537416,0.1083214285714286,0.1684999999999999,-7.5529,9.2944,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,7.105427357601002e-15,4.163336342344337e-17,1.8694091809952482,-0.03947474690663663,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
CHOPPY,relative_strength,LOW,1519,31,49,46.93877551020408,-0.1550221856484529,-0.189,-36.7376,13.4597,1519,46.93877551020408,-0.15502218564845294,12446,50.851679254378915,0.14779617547806523,0.0,2.7755575615628914e-17,-3.9129037441748338,-0.30281836112651817,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
LOW_VOL,relative_strength,LOW,882,18,49,52.72108843537416,0.1490935374149659,0.14625,-30.1183,14.1326,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,7.105427357601002e-15,-1.1102230246251565e-16,1.8694091809952482,0.001297361936900665,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
HIGH_VOL,relative_strength,LOW,245,5,49,73.87755102040816,2.2843865306122444,2.3334,-11.438,13.2915,245,73.87755102040816,2.284386530612245,12446,50.851679254378915,0.14779617547806523,0.0,-4.440892098500626e-16,23.025871766029248,2.136590355134179,WEAK_OR_MIXED,Evidence does not show a stable directional lift.
