trade_date,index_name,sector,scenario,scenario_id,fingerprint,change_pct,intelligence_score,relative_strength,trend_score,momentum_score,volatility_score,liquidity_score,return_5d,direction_5d
2025-09-08,TECHM.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-1.16,49.76,-1.29,50.0,40.67,88.15,70.0,4.046,UP
2025-09-08,TRENT.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-3.85,48.81,-3.98,70.0,30.5,83.55,60.0,-3.4334,DOWN
2025-09-08,ULTRACEMCO.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.5,55.82,0.37,100.0,51.02,87.69,40.0,-1.8083,DOWN
2025-09-09,ADANIENT.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.03,55.29,-0.36,80.0,52.26,84.2,60.0,3.7982,UP
2025-09-09,ADANIPORTS.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,2.42,62.65,2.03,80.0,65.25,85.98,80.0,1.977,UP
2025-09-09,APOLLOHOSP.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.5,58.38,0.11,100.0,51.79,80.0,60.0,0.345,FLAT
2025-09-09,ASIANPAINT.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.26,61.67,-0.13,100.0,49.97,88.36,70.0,-2.2228,DOWN
2025-09-09,AXISBANK.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.31,60.14,-0.7,70.0,48.61,92.08,90.0,6.5577,UP
2025-09-09,BAJAJ-AUTO.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.54,59.3,-0.93,100.0,53.59,82.9,60.0,-3.3092,DOWN
2025-09-09,BAJAJFINSV.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.84,62.94,0.45,100.0,56.24,87.99,70.0,2.7156,UP
2025-09-09,BAJFINANCE.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.43,65.6,0.04,100.0,56.3,81.65,90.0,5.7834,UP
2025-09-09,BEL.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.01,61.66,-0.38,70.0,49.42,88.87,100.0,8.321,UP
2025-09-09,BHARTIARTL.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.32,55.0,-0.07,50.0,51.93,93.07,80.0,2.4185,UP
2025-09-09,BPCL.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.79,59.3,-1.18,70.0,47.01,89.5,90.0,1.3696,UP
2025-09-09,BRITANNIA.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.44,55.9,0.05,100.0,55.46,84.01,40.0,0.9768,UP
2025-09-09,CIPLA.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.67,55.76,0.28,70.0,50.29,88.22,70.0,0.4769,FLAT
2025-09-09,COALINDIA.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.23,62.05,-0.16,80.0,51.09,89.14,90.0,2.0235,UP
2025-09-09,DRREDDY.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,3.25,65.19,2.86,100.0,67.38,85.69,70.0,1.4791,UP
2025-09-09,EICHERMOT.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.87,62.62,0.48,100.0,64.96,87.65,60.0,0.771,UP
2025-09-09,ETERNAL.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-1.2,66.42,-1.59,100.0,45.67,86.44,100.0,0.4912,FLAT
2025-09-09,GRASIM.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.29,53.34,-0.68,70.0,48.51,88.21,60.0,1.6846,UP
2025-09-09,HCLTECH.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,1.72,54.47,1.33,50.0,54.21,86.82,80.0,3.924,UP
2025-09-09,HDFCBANK.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.09,62.58,-0.48,70.0,50.75,92.13,100.0,0.1761,FLAT
2025-09-09,HDFCLIFE.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.98,54.74,0.59,50.0,53.39,89.74,80.0,1.7409,UP
2025-09-09,HEROMOTOCO.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.36,60.72,-0.75,100.0,51.45,82.16,70.0,-1.9821,DOWN
2025-09-09,HINDALCO.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.56,65.58,0.17,100.0,54.37,83.38,90.0,1.7566,UP
2025-09-09,HINDUNILVR.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.69,57.65,0.3,80.0,51.37,86.57,70.0,-2.3126,DOWN
2025-09-09,ICICIBANK.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.07,56.69,-0.32,50.0,50.22,93.22,90.0,1.2752,UP
2025-09-09,INDUSINDBK.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.61,56.6,-1.0,70.0,45.83,87.19,80.0,-0.5227,DOWN
2025-09-09,INFY.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,4.98,65.71,4.59,80.0,72.89,81.08,90.0,0.4653,FLAT
2025-09-09,ITC.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.61,64.27,0.22,80.0,51.67,89.44,100.0,0.7438,UP
2025-09-09,JIOFIN.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-1.01,56.89,-1.4,50.0,44.62,89.81,100.0,2.4355,UP
2025-09-09,JSWSTEEL.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.28,58.69,-0.11,80.0,56.83,86.62,70.0,0.9688,UP
2025-09-09,KOTAKBANK.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.53,58.74,0.14,50.0,52.92,90.62,100.0,3.1269,UP
2025-09-09,LT.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.13,51.72,-0.52,50.0,46.81,91.78,70.0,4.0511,UP
2025-09-09,M&M.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,3.79,67.63,3.4,100.0,77.58,77.16,80.0,-2.3889,DOWN
2025-09-09,MARUTI.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.7,59.89,0.31,100.0,59.56,79.59,60.0,1.3537,UP
2025-09-09,NESTLEIND.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,1.22,61.79,0.83,100.0,54.53,83.59,70.0,0.1664,FLAT
2025-09-09,NTPC.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.8,54.68,-1.19,50.0,43.12,90.28,90.0,3.3786,UP
2025-09-09,ONGC.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.52,55.23,-0.91,50.0,44.45,91.7,90.0,1.6254,UP
2025-09-09,POWERGRID.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.37,62.08,-0.02,70.0,51.83,88.59,100.0,1.5853,UP
2025-09-09,RELIANCE.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.17,61.86,-0.56,70.0,50.61,88.7,100.0,2.1145,UP
2025-09-09,SBILIFE.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,1.39,51.67,1.0,50.0,56.0,91.33,60.0,0.7255,UP
2025-09-09,SBIN.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.01,60.5,-0.38,70.0,50.11,92.38,90.0,2.8065,UP
2025-09-09,SHRIRAMFIN.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.29,58.89,-0.68,70.0,50.7,83.73,90.0,3.8824,UP
2025-09-09,SUNPHARMA.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.68,58.51,0.29,70.0,53.59,88.69,80.0,1.1811,UP
2025-09-09,TATACONSUM.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.87,60.27,0.48,100.0,54.03,86.85,60.0,0.7937,UP
2025-09-09,TATASTEEL.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.2,67.32,-0.19,100.0,55.48,81.13,100.0,1.6967,UP
2025-09-09,TCS.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,1.01,57.98,0.62,70.0,51.46,87.84,80.0,3.158,UP
2025-09-09,TECHM.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,2.57,53.71,2.18,50.0,59.62,86.77,70.0,2.2227,UP
2025-09-09,TRENT.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-1.82,49.66,-2.21,70.0,35.23,83.05,60.0,-1.3605,DOWN
2025-09-09,ULTRACEMCO.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,-0.73,48.75,-1.12,70.0,45.95,87.78,40.0,0.0477,FLAT
2025-09-10,ADANIENT.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,1.24,57.51,0.82,80.0,58.71,88.04,60.0,2.6408,UP
2025-09-10,ADANIPORTS.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.59,65.18,0.17,100.0,59.63,86.1,80.0,1.2238,UP
2025-09-10,APOLLOHOSP.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,1.32,55.88,0.9,80.0,58.06,80.42,60.0,-0.5171,DOWN
2025-09-10,ASIANPAINT.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,0.24,61.61,-0.18,100.0,49.63,88.4,70.0,-1.9542,DOWN
2025-09-10,AXISBANK.NS,,TREND_UP,UNEXPLORED_15,39cd5fd0b3c726a8,1.7,64.4,1.28,80.0,58.93,91.8,90.0,5.2238,UP
