trade_date,candidate,scenario_id,primary_scenario,fingerprint,spread
2026-05-06,TRACK_B_BASELINE_FAILURE,UNEXPLORED_36,TREND_UP,92a560e6db252f77,1.719559999999999
2026-05-06,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_36,TREND_UP,92a560e6db252f77,-0.05345000000000022
2026-05-06,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_36,TREND_UP,92a560e6db252f77,-0.47137777777777856
2026-05-07,TRACK_B_BASELINE_FAILURE,UNEXPLORED_42,TREND_UP,58890405cc7b814b,1.9709999999999996
2026-05-07,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_42,TREND_UP,58890405cc7b814b,2.20864
2026-05-07,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_42,TREND_UP,58890405cc7b814b,1.2689777777777778
2026-05-08,TRACK_B_BASELINE_FAILURE,UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,2.5686199999999997
2026-05-08,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,1.9776799999999999
2026-05-08,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,3.2110444444444446
2026-05-11,TRACK_B_BASELINE_FAILURE,UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,2.0872900000000003
2026-05-11,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,-0.78117
2026-05-11,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,1.0840666666666667
2026-05-12,TRACK_B_BASELINE_FAILURE,UNEXPLORED_29,TREND_DOWN,f8d582f6f5eae30a,-1.53869
2026-05-12,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_29,TREND_DOWN,f8d582f6f5eae30a,-2.27587
2026-05-12,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_29,TREND_DOWN,f8d582f6f5eae30a,-1.2073222222222222
2026-05-13,TRACK_B_BASELINE_FAILURE,UNEXPLORED_21,TREND_DOWN,e3647c9a4d3c5632,-1.5440799999999997
2026-05-13,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_21,TREND_DOWN,e3647c9a4d3c5632,-0.8537699999999997
2026-05-13,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_21,TREND_DOWN,e3647c9a4d3c5632,-0.19712222222222198
2026-05-14,TRACK_B_BASELINE_FAILURE,UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,-1.3147900000000001
2026-05-14,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,-2.3416499999999996
2026-05-14,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_28,TREND_DOWN,17c4bc482d33330e,-1.593977777777778
2026-05-15,TRACK_B_BASELINE_FAILURE,UNEXPLORED_21,TREND_DOWN,e3647c9a4d3c5632,-1.7363499999999994
2026-05-15,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_21,TREND_DOWN,e3647c9a4d3c5632,-1.7609799999999998
2026-05-15,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_21,TREND_DOWN,e3647c9a4d3c5632,-1.6471111111111107
2026-05-18,TRACK_B_BASELINE_FAILURE,UNEXPLORED_44,TREND_DOWN,79c3c63ae1d8c9ec,-2.15081
2026-05-18,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_44,TREND_DOWN,79c3c63ae1d8c9ec,-3.055440000000001
2026-05-18,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_44,TREND_DOWN,79c3c63ae1d8c9ec,-1.8117444444444448
2026-05-19,TRACK_B_BASELINE_FAILURE,UNEXPLORED_25,TREND_UP,462b4025dc9ef2d4,-0.95183
2026-05-19,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_25,TREND_UP,462b4025dc9ef2d4,-1.3905500000000002
2026-05-19,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_25,TREND_UP,462b4025dc9ef2d4,-2.1739555555555556
2026-05-20,TRACK_B_BASELINE_FAILURE,UNEXPLORED_25,TREND_UP,462b4025dc9ef2d4,-1.19894
