id_x,trade_date,symbol,sector,change_pct,sector_strength,position_pct,total_score,intelligence_score,created_at,rank,grade,id_y,return_1d,return_5d,return_10d,return_20d,success_1d,success_5d,success_10d,success_20d,strong_win,strong_loss,top10_pick,top20_pick,future_direction
18180,2025-12-02,BHARTIARTL.NS,TELECOM,0.68,0.68,81.21,87.34693877551021,82.65306122448979,2026-06-16 15:55:12,4,C,27437,-0.8555133079847909,-0.6796577946768148,-0.09505703422053231,0.07604562737642154,0,0,0,1,0,0,1,1,BULLISH
18235,2025-12-03,HINDALCO.NS,METALS,1.17,-0.47500000000000003,79.52,77.24489795918367,76.12244897959184,2026-06-16 15:55:12,2,B,30805,-0.6737718975866716,0.6676466985177074,3.9813793948303324,9.634938135489415,0,1,1,1,1,0,1,1,BULLISH
18278,2025-12-04,INFY.NS,IT,1.2,1.2375,80.19,91.12244897959184,84.48979591836735,2026-06-16 15:55:12,6,C,31842,1.1642463695543401,0.02503755633450745,1.8277416124186308,2.679018527791699,1,1,1,1,0,0,1,1,BULLISH
18328,2025-12-05,BAJFINANCE.NS,FINANCIALS,1.84,1.6516666666666666,80.86,92.75510204081634,83.26530612244898,2026-06-16 15:55:12,3,B,26922,-2.0610687022900676,-2.9293893129771034,-3.788167938931302,-6.6078244274809155,0,0,0,0,0,1,1,1,BEARISH
18478,2025-12-10,RELIANCE.NS,ENERGY,0.49,0.24000000000000005,84.72,84.08163265306122,83.87755102040818,2026-06-16 15:55:12,13,C,34954,0.5270349404645656,0.48799531524497364,1.3859066952957222,-4.313878586765578,1,1,1,0,0,0,0,1,BEARISH
18527,2025-12-11,KOTAKBANK.NS,BANKING,2.38,0.5466666666666666,82.88,78.06122448979592,77.75510204081633,2026-06-16 15:55:12,5,B,32883,-0.1651224658288293,-0.7155306852582342,-0.7338776259058907,-2.4493165764608764,0,0,0,0,0,0,1,1,BEARISH
18575,2025-12-12,BPCL.NS,ENERGY,3.91,0.96,84.54,87.75510204081633,84.48979591836735,2026-06-16 15:55:12,8,B,27704,0.5341734009039826,0.24654156964798718,1.7942747568826216,-1.7257909875359572,1,1,1,0,0,0,1,1,BEARISH
18625,2025-12-15,INFY.NS,IT,0.54,0.325,84.42,76.83673469387756,76.53061224489795,2026-06-16 15:55:12,20,C,31849,-0.8650734378889633,5.153099327856607,0.9210853871048018,-0.48543689320388067,0,1,1,0,0,0,0,1,BEARISH
18626,2025-12-15,HCLTECH.NS,IT,0.65,0.325,84.24,76.63265306122449,76.12244897959184,2026-06-16 15:55:12,21,C,29777,-1.918052256532064,-0.8135391923990525,-4.085510688836102,-1.1282660332541568,0,0,0,0,0,0,0,0,BEARISH
18672,2025-12-16,TATACONSUM.NS,FMCG,1.08,0.14142857142857143,81.69,78.36734693877551,78.16326530612245,2026-06-16 15:55:12,4,C,36253,0.846226173177183,1.341995042311293,1.8890503461834265,0.12821608684502947,1,1,1,1,0,0,1,1,BULLISH
